Vmag,Plx,e_Plx,B-V,Amag,SpType,TargetClass
8.522534003,3.047931225,0.856127885,0.9412025815,16.74731044,850,1
9.057578233,-0.3983996611,1.336246944,0.4463920575,10.16438728,597,1
7.510157879,4.050666627,0.9122083778,0.9119387476,15.69379905,844,0
8.617460841,0.5211308839,0.85931788,1.51477586,12.8344059,1027,1
8.617583869,0.01913617855,1.257493115,0.8580262138,8.115349263,844,0
9.414945766,3.167520709,1.868893695,0.4912459679,16.52538892,560,1
7.853289989,1.594559409,0.8030032011,1.197236101,15.6254217,931,0
8.811152925,-1.002491597,1.296801364,0.4134860775,15.94710094,674,0
8.230944324,6.445692499,0.9874253432,0.5046267734,18.45261811,584,1
9.451104372,19.75376635,0.9233635636,0.7241856139,21.04424755,814,1
8.838338931,3.723110954,1.086140168,0.2757482349,17.96606862,207,1
7.520576917,3.710816354,0.7346843933,1.168556318,15.2849995,888,1
8.608540886,9.050840561,1.635851036,0.4612787935,18.78195385,619,1
8.558420888,-0.1349765797,0.8894812802,0.7744813408,11.44485061,698,1
4.16470814,16.15003217,0.567715089,0.2112697073,17.38050476,524,1
4.127215213,2.05830719,0.6649029113,-0.06488023947,11.92480448,463,1
7.419211491,3.097915918,0.6312549833,0.3839764184,15.47312621,549,0
9.467613136,6.182710038,1.997439178,0.9177436283,18.48723352,173,1
8.41751841,5.915462074,1.358910176,0.6078690007,16.7185873,524,1
7.409903859,3.2289934,0.9644762239,-0.0005434656644,14.4828839,425,1
7.772558225,7.413329047,0.7205205701,0.7120865245,21.32514515,709,1
7.559572516,14.00757013,0.8870150004,0.5217482436,19.17672688,738,0
10.08981093,2.95409289,1.240757228,0.5960134,17.18219678,721,1
9.384814791,0.5924088435,1.230963581,0.2009560647,14.26990133,466,1
9.688827484,1.616680666,1.230468688,-0.05647169295,15.04457754,407,0
6.594052978,2.400906228,0.5709922081,0.01010407215,15.33671611,368,0
9.088143843,23.85543862,1.027269178,1.091036915,22.04942661,1033,0
8.827086022,0.8529007352,1.90800749,1.291395321,14.3151238,704,0
9.009258342,18.36751819,1.118852819,0.7372162764,19.76739703,792,0
3.155992419,13.87750341,0.5319151782,0.03167722867,15.06470646,466,1
8.396778089,4.202895934,1.068233013,1.480854176,17.72697452,1089,0
9.19999607,4.989761474,2.083870992,0.2990153802,18.02281432,207,1
8.214619324,1.562469518,0.7854485279,1.465748746,14.48383499,969,1
8.668206576,1.633367409,0.8649888668,1.277560819,14.29585833,969,1
9.029759124,2.442972639,0.8478129328,1.012627175,16.54152734,844,0
6.992136847,7.433638202,0.9562606599,0.9061165657,16.5654875,794,1
8.855393923,2.75870681,1.029043483,0.6155001951,16.82515528,584,1
7.596033049,5.82824728,1.04993291,0.4494723385,16.93697133,788,1
8.139770237,2.00262293,0.9570283729,-0.2327344805,14.8854592,420,1
8.353406315,5.420005393,0.7615261772,0.6058897768,17.30448371,584,1
3.57193119,2.511668428,0.6797029284,1.36206516,13.45801385,1027,1
5.583680418,8.243098111,0.618343255,1.090255632,16.09920438,931,0
8.789738023,8.903314366,0.8523812723,0.4443116035,17.29999505,175,0
3.330737691,15.90825023,0.8354847043,0.252736003,16.88309744,528,1
8.338020153,2.042706257,0.9635690577,1.220420014,14.30089716,958,1
9.276171043,1.016916988,1.374017183,-0.0824108796,14.89155592,296,1
8.048291837,2.582907551,1.27704237,0.983332255,15.33083084,888,1
4.062187541,33.08190723,0.4148608901,0.4885109846,19.25223616,738,0
7.732976363,5.311031404,1.041733425,1.129322784,17.53813444,888,1
7.226371199,1.076847101,1.164711954,1.416070286,12.78593628,1045,0
8.651168759,4.235743984,1.169001406,0.4836309452,19.05101247,525,1
4.080795563,30.54437395,0.7950301152,0.339902411,17.87532582,635,0
8.79789801,3.53875108,1.587583383,0.3201634104,16.55698998,619,1
7.894056185,1.933714819,0.8061008302,-0.05605700133,15.04078495,378,0
8.429105751,1.346701855,0.8913350109,1.014987564,13.7546469,844,0
8.048255307,3.262199291,1.123725047,0.07128031848,16.69312542,21,0
7.611983991,15.32848129,1.297236028,0.8223473858,18.48725248,945,1
8.730820859,2.324293385,1.098734016,0.9406273991,16.02594457,888,1
6.120827751,2.81668146,0.5360135456,-0.09409381415,13.58707875,416,1
9.200213473,2.023918947,1.020175801,0.9764086446,15.53263222,888,1
6.3878506,3.897791701,1.061371763,1.076430903,14.73623766,888,1
6.814249816,5.364774472,0.9459318321,0.5378718777,16.08112227,175,0
8.206351285,3.053421442,1.478639503,0.9885356986,16.14756791,888,1
8.434163758,9.506578153,0.767744741,1.023061859,18.07725787,801,1
3.124661321,5.231278955,0.8549586311,1.552886428,14.4386474,1027,1
8.761890533,4.171839601,1.223553349,0.5706158195,18.09167726,673,0
9.177194787,3.384027801,1.308995658,0.5084097508,15.68974876,619,1
9.23033264,3.118997273,1.089352525,-0.03196839555,16.96631466,475,1
8.89157949,0.4161448155,1.268408441,1.413225809,13.42952383,969,1
8.097842009,1.602810693,0.993293125,1.009663295,14.93277933,1035,0
1.437855395,6.895603567,0.768542115,-0.1571241372,12.24335786,243,1
8.865562644,-0.7505959536,1.112712404,0.8406313098,11.31846793,844,0
7.961411682,3.065094477,0.9397404853,-0.06278807969,16.162906,11,0
7.574218243,10.61818274,1.047217595,1.005482509,17.31159262,866,1
7.005667386,4.292960722,0.6635492631,1.425872493,15.32787567,1065,1
3.243037079,1.051896492,0.4989127736,-0.07037479956,11.05704397,249,0
9.297247432,4.972567968,1.449787466,0.6715760122,17.54523228,709,1
8.923771264,9.398530607,1.06302266,1.201466092,17.54278844,931,0
8.861036137,4.167908091,1.363121319,0.5080092181,18.7434966,640,1
0.8153097169,19.96857789,0.5668973341,0.5691485326,17.06516872,92,1
10.55588808,3.478900997,0.7903908505,0.2447095146,15.68896695,21,0
8.572883718,2.70060772,1.079125312,1.267230988,15.09051996,931,0
8.137341868,2.534769982,1.03416652,1.317944191,16.3400795,994,1
7.854516458,24.53293913,1.139144304,0.9449245169,19.46267898,864,0
8.095609557,8.216546123,0.7587326896,0.3919731582,17.5676234,207,1
2.951195888,0.05024948898,0.6474148303,0.44693064,9.511625373,73,1
8.511228553,2.119521122,1.373308458,0.005167435852,14.7963274,21,0
8.111646807,6.427311312,0.875043281,0.5758231612,17.91902007,619,1
8.647853776,1.457273232,0.7726976297,1.223575952,15.50569331,958,1
8.703972175,3.895280578,0.6940716024,0.3331461412,16.88639797,524,1
8.980896646,0.9808845339,1.048992097,1.102153954,16.22631617,931,0
9.136154169,1.860771154,1.289317182,0.01786341361,15.81751403,189,1
7.974458497,1.574175127,1.273000336,1.137567543,15.04009293,945,1
8.494560689,4.420713707,0.8802186849,0.01788335161,15.16560466,101,1
7.014041633,1.860899157,1.124422006,1.292769138,13.6768608,931,0
7.959225396,12.71035114,1.036981277,0.3729499533,18.20352876,619,1
7.932886316,2.207980497,1.070910856,1.308265784,15.62426422,969,1
7.691349579,4.261526808,1.286552799,0.2622333504,16.73330846,355,0
6.714146264,14.1626997,0.7331940751,-0.06288524737,16.15446527,108,1
7.416499171,3.524658129,0.7383005823,0.1256856122,15.79005194,382,0
2.365242826,13.70379277,0.5079105028,0.08109214638,15.73640076,101,1
8.876542632,1.198045595,0.972715069,1.093725867,12.21411139,931,0
9.472453807,1.79341856,1.09320275,0.9470575892,16.3115223,844,0
7.007873768,4.949662505,1.019540851,1.057569845,16.18379664,888,1
9.580939584,2.893742129,1.242177316,-0.1431494853,17.78211101,693,1
9.016408606,0.1083788819,1.0343516,0.05311810246,15.9245256,317,0
7.630403384,5.039988654,0.6536915602,0.07953307193,14.97460261,406,0
6.277325238,10.38685213,0.5478500487,0.2080431432,16.02218565,549,0
8.668730995,7.295848599,1.035600434,0.2611940231,17.88726999,207,1
8.332245395,1.005994768,1.433429276,1.056772791,14.05600013,1004,1
9.063451206,4.3936652,1.271447997,1.032516691,16.82256327,844,0
8.51494754,12.24087314,0.6028473814,0.1065804611,15.75174198,101,1
8.164084015,2.008108278,0.8930295969,-0.05934162464,14.40471281,339,0
8.085372518,4.485021564,1.156969509,-0.03677673744,16.35914904,334,0
9.349993016,1.92430319,1.588546987,1.348829269,15.69273397,1065,1
7.329808245,2.255901341,0.5874386383,1.497319417,14.19210595,994,1
9.227015929,5.759389885,1.374103785,0.6195922566,18.4419206,757,0
8.800782409,1.274712941,1.259267255,1.069452801,14.26207254,888,1
9.461486981,2.557196124,1.042275105,1.155108735,15.55126724,828,0
8.602563938,41.69112055,1.362612995,1.521511794,24.8974399,1035,0
5.946886533,3.637206742,0.5559202211,1.047986284,15.24324783,888,1
8.995861428,11.56853811,1.063418317,0.6193841044,19.06920535,709,1
7.412032381,2.845688731,0.8846829343,0.9543554989,14.25148974,29,1
9.251751292,4.338308537,1.474612218,0.5631251085,18.71131933,560,1
6.603669583,6.160011022,0.6178289526,0.0364560703,16.04565377,398,0
9.635153772,2.92496803,1.292543473,0.6049869539,17.35907449,560,1
7.615752664,13.39583813,0.7804636201,0.584088595,18.70333183,644,1
9.049224183,0.1400985624,1.080252457,0.9820271777,8.507291248,844,0
2.074448579,18.81782148,0.5213451701,0.3836653542,17.07123367,524,1
3.14201163,35.47133871,0.6851429278,0.3961450971,17.94802878,592,0
7.297117662,4.130245089,0.8749384201,0.2999501442,14.68768235,449,0
6.571591978,3.870353812,0.9218113731,1.608853786,15.3760966,994,1
7.447605607,6.261626494,0.9591584097,0.5359392706,17.1604966,549,0
8.677425344,0.555754015,1.10295073,-0.0133055614,12.20114778,414,1
7.679288721,6.059316876,0.7041997101,-0.03699145861,17.29406275,71,1
7.174981891,5.955910311,1.036868123,0.05571725468,16.07057967,486,1
9.550648079,5.182876093,1.128019288,0.7429856411,19.02489406,660,0
7.833825208,11.98653139,0.8691789589,0.6604757808,18.32505571,757,0
8.649578918,9.238023566,1.764690103,0.6458856636,18.23527974,584,1
7.603218141,11.30858502,1.255938238,0.6611220831,17.03367901,619,1
7.352338704,2.447021105,0.6862449928,1.008104452,13.89018412,888,1
8.341304473,4.931248141,1.479646171,0.2680227748,17.21026013,625,0
4.270394379,18.02943344,0.7489057859,0.4103012908,17.43797431,584,1
9.403889211,5.859036552,1.646610801,0.6721469441,18.93881259,757,0
7.585639543,-1.125185008,0.9621861456,-0.05942623458,12.11780281,218,1
8.074239808,5.080194371,0.9745056079,0.6801349552,19.47309096,757,0
8.553321993,-0.7493162582,1.214037494,0.9706307551,7.183334346,844,0
4.663131084,4.968021276,0.7369154595,0.3470605092,14.87061827,98,0
8.54169919,1.141579466,0.8569270541,1.021205967,14.25968264,707,1
8.571326797,2.824999814,1.026037294,0.3434784519,16.01624528,584,1
7.545713489,1.823388952,0.8283660764,1.017561261,13.39491474,844,0
8.439850053,3.583305247,1.364386538,0.2093983092,17.15487279,175,0
8.392283406,1.641003119,1.026975028,1.550504095,13.58487242,969,1
9.044720505,1.827060964,1.307731172,0.09976769021,15.17832036,21,0
6.50813426,7.597116537,0.8952902257,0.9744555982,15.95976944,779,0
1.134332633,12.3475054,0.7749639563,0.1539037204,15.6719797,575,1
2.822967879,3.100144458,0.5716522167,0.06072551533,12.9390053,395,0
9.230880395,0.01255259194,1.24365498,0.1424513938,13.14598935,212,1
7.768487866,2.047381042,1.089905196,0.9717731446,14.70062944,844,0
7.975672467,7.62872622,0.848684649,0.9715607586,17.10697702,931,0
8.273562275,2.329111428,0.928278752,0.1545036024,14.55396805,321,0
5.078117941,11.28992613,0.4845294232,0.428979442,16.14026441,552,0
2.615482887,6.066579165,0.6939727091,0.03421691211,15.15634853,21,0
8.758378411,2.180454777,1.175243963,-0.05624486186,15.48871668,416,1
8.018074275,4.358521142,1.252589724,0.8189023231,16.32683105,864,0
7.474462344,2.996104271,1.124369227,1.370524747,15.2887069,1012,1
7.851997534,4.660406934,1.200130131,1.027869024,17.35299906,844,0
9.103684594,1.835624908,0.9434615382,-0.1386646215,15.08370157,486,1
9.189075028,8.585116548,1.212534995,0.4284077506,18.02041452,619,1
7.880510393,1.887984831,1.957490585,0.0359065389,14.18798043,375,1
9.995198483,13.76351655,3.532250453,1.088525006,21.69552451,1033,0
7.592611937,2.365211076,1.107143257,1.586476431,14.31835831,994,1
6.848140055,5.362177107,0.7308112033,0.9879409933,16.98003197,717,1
8.371779294,6.61036795,1.190368056,0.4709388634,19.07975822,660,0
9.151276141,3.833635478,0.9385311525,1.009116638,17.35250843,969,1
6.870388831,7.828679563,0.9411358249,1.06254279,16.04537346,853,1
8.555985734,4.434237604,1.118886396,0.4374229245,16.05500494,524,1
8.637882085,4.806697707,1.096924252,1.112147991,17.83456026,888,1
6.417825336,4.986344369,0.6652646122,0.9979662418,15.54205315,888,1
7.707601089,2.76426205,1.011955004,0.9790213512,16.20510534,850,1
6.130466158,4.516986663,0.4306363133,1.264147436,14.36859297,1027,1
7.928847355,1.168501172,1.008663952,0.6477161098,14.55938253,603,0
7.455238603,11.55587213,0.755948747,0.74611026,18.67271653,738,0
8.538185733,2.83930477,1.601881087,1.3081873,16.70770808,994,1
9.12482552,5.286405182,1.384021386,0.3693265467,17.6073436,560,1
7.112666591,9.656236597,0.6507938619,0.4812660736,16.56738923,549,0
7.879026241,5.44413957,0.8534533276,0.7423424622,16.95356518,584,1
8.354206014,2.14914676,1.463625809,1.485247214,15.15953243,1012,1
8.671169482,7.098666156,1.038461588,1.029858538,17.84555548,931,0
10.26537403,-0.3960731955,1.291552353,-0.02542968871,12.96011285,420,1
8.775786606,1.321369268,1.033519816,0.2186407798,14.83924938,137,0
6.967957583,0.7342132523,1.014363365,0.1350217416,12.33090455,276,0
1.940274576,10.4791572,0.6816283789,1.062017049,15.6909333,888,1
7.392903802,19.36165618,0.6917526286,0.7240950234,18.89417698,792,0
8.783674781,7.092423997,1.272958397,0.5913953897,18.6774891,619,1
8.990926877,4.6271635,1.343648492,1.177458849,16.02086245,853,1
9.879861413,7.380089129,1.651681907,1.036409306,16.94379489,888,1
4.359359814,17.14926827,0.6536098758,0.9557628154,15.21663273,888,1
9.691533049,4.861801844,1.765306318,0.6773877273,18.4137737,669,0
7.710026586,9.720468989,1.441371617,0.4523878453,17.67540631,619,1
7.508318119,9.976418801,0.931175911,0.3543993326,17.36465084,71,1
8.424887012,1.533733801,0.9752184511,1.206426513,15.71615412,844,0
8.654820158,11.5690998,1.047005503,0.5992603222,18.88320513,757,0
8.641133881,1.828114535,1.309023822,1.391305756,15.34718944,969,1
9.286810114,-0.7191045754,0.9465358312,0.8647481253,11.3404961,888,1
2.018323886,5.297845146,0.5408360443,-0.01766778688,14.5032717,423,1
9.73051146,4.087770361,1.07049088,0.5834950795,17.55441523,619,1
6.908203387,2.863390857,1.164650971,1.24809153,15.38957046,931,0
8.413023379,2.206616164,0.8754355376,0.1050887895,14.95554155,486,1
8.253447123,1.30578265,1.348931849,0.5469387926,14.73546085,454,1
9.872023422,1.203670819,1.799563624,0.2538436677,15.39529757,238,1
7.71122171,3.987731152,0.844207372,1.056119371,15.47733673,844,0
8.669403571,12.47131171,0.8013217868,0.5308206977,18.44356762,757,0
9.456161602,14.00057141,1.986150857,0.8248327954,21.52552817,911,1
8.905952079,2.56308568,1.206672768,0.581441473,16.98071787,524,1
8.895299423,11.65589895,0.997630533,0.5369043475,18.07840012,757,0
9.509081748,1.53026341,0.7995904194,-0.03097609545,15.84623964,1021,0
6.552411205,8.831986509,0.9292905364,0.9401150767,16.9322031,844,0
9.292678677,3.882087885,1.152539449,0.4462730456,16.80208283,524,1
7.634449979,4.498997944,0.7016206044,1.338479441,17.15437139,853,1
8.328421717,0.8543012886,0.837919478,0.01645796845,13.07298212,486,1
7.946249708,1.110152283,0.9813255259,1.265825438,14.21054045,969,1
9.00766822,2.526111694,0.9045750061,1.044117037,15.27742031,994,1
6.815221274,5.846562552,0.9768495758,1.268277102,15.66542629,1085,0
8.557056467,1.697168489,1.436060488,1.459189586,16.32324946,969,1
8.936395963,7.961436217,0.8353825784,0.4535792318,19.13546274,619,1
8.500775552,3.694733204,1.744825183,1.374010172,17.70673968,931,0
9.037181979,5.399024998,1.249469929,0.5289972565,17.54142942,584,1
8.213862895,9.636360205,1.660282322,0.4383406567,19.09056502,584,1
7.115035809,1.675113281,1.04622732,0.1564020414,13.74755909,363,0
8.758803083,6.06719179,1.339472464,0.4099898033,17.40151267,619,1
8.705735551,9.517335826,1.193930005,0.9776514715,19.46309455,746,1
9.370830192,0.9186990031,1.151284184,0.1167255544,14.72852994,486,1
9.089948495,1.463818119,1.807881159,0.9566064162,15.29675526,868,1
8.891676152,6.442427922,1.024758406,0.668254445,18.90595186,844,0
8.053052583,1.363101224,1.183053117,1.280252478,13.56339064,1065,1
8.239888208,2.579595959,0.836547866,1.490866909,16.02838061,1027,1
9.152842727,12.80613564,0.8252378559,0.6838373598,21.13048002,814,1
8.274563369,1.849354376,1.203001233,1.117768569,14.51822974,888,1
9.486220488,8.330098249,1.409333582,0.5918615672,17.98875461,757,0
3.262245446,11.9753219,0.5631196025,0.8838162281,16.12943253,888,1
7.161946469,11.91487361,0.8441163591,0.3606981173,18.01607815,552,0
9.02162353,2.284328138,0.8862436076,1.106932833,16.16976365,888,1
7.179286187,6.226064899,1.026693984,1.260733782,16.86679228,888,1
8.15705669,3.799755307,1.181871498,0.1659712376,16.60576345,98,0
9.788664555,2.611032329,0.9609895129,0.08523206753,16.91524538,21,0
9.089479398,5.145252772,1.641654703,0.5780872289,18.28992443,466,1
3.708654669,12.03396014,0.5671650785,0.3818216727,17.45986152,532,1
3.906367922,1.105350565,0.5413105115,1.616238578,10.38835341,1016,1
7.275707711,1.256010251,0.8494155718,1.571293582,13.23695402,1016,1
7.256004546,5.353083074,0.8145002804,0.437208702,15.89721069,175,0
4.611113201,4.408061253,0.7862850234,0.09368643975,14.87221891,408,0
6.403876383,5.722393062,0.5296152665,-0.01721519367,14.88011652,21,0
9.428035858,-0.2816193598,1.36489408,0.942078508,12.2493353,844,0
10.06684077,3.591043357,1.456146873,0.6109875159,17.3932436,757,0
8.731979168,10.49655241,0.9602449669,0.6009950307,19.50586897,792,0
6.885372516,9.516880806,0.7208344748,0.2727913017,15.76885168,198,0
8.311661735,4.870525864,0.8826335881,0.006119334118,16.21834171,21,0
6.860810189,-0.1601462608,0.9350042894,-0.02238906992,13.01271335,319,0
8.947471204,2.337020971,1.184712618,-0.02760157454,16.02265883,542,1
9.152272517,7.337312975,1.199440113,0.8936193887,18.70115826,814,1
6.373749162,3.780414216,0.9149603593,0.01493831179,14.71886273,419,1
8.05739035,9.749815794,0.8902914455,0.6939619726,18.04613875,844,0
9.267953988,18.12990892,1.50458905,0.7758122477,21.28398972,1011,1
8.296865848,4.843819258,1.082270501,0.9344823961,17.39813004,70,1
6.863311679,10.32250335,0.6385651024,0.1244390962,16.169429,74,1
8.410920223,1.626440515,0.6962192716,1.403940945,15.53098147,969,1
7.088153299,0.8553804332,0.9318999226,0.09216395804,12.40452756,318,0
9.977205749,18.02804093,1.99225549,0.7933907239,21.23123601,911,1
6.228653265,5.147765457,0.9694584672,1.346796336,16.03350785,931,0
8.404954058,-0.08075304553,1.223741925,0.658684698,11.23252042,921,1
8.167518125,4.896452699,1.394863084,1.047984916,16.45810309,931,0
2.558094729,17.18706543,0.4631002508,0.1662699398,17.67118959,175,0
8.787073165,4.020260365,0.927520883,0.05976656316,17.47377025,21,0
5.361977075,23.32734014,0.7567967294,0.3648648436,17.4351614,524,1
7.113559575,5.145740359,0.6509972292,1.106595272,16.47927517,888,1
8.423562741,4.351562676,1.135685468,0.2021644836,15.83535814,21,0
8.312280987,1.311165449,1.201904237,0.207776525,13.889758,368,0
3.712841038,1.363843936,0.8214370995,-0.04156293785,10.74327284,20,1
8.287947166,0.4288711064,1.205326061,1.203526843,13.32981288,969,1
8.762088648,1.670233191,1.006146105,1.067402238,13.92027273,888,1
3.385188396,3.431903761,0.7524418641,1.378602749,14.13629091,994,1
6.994171888,12.86579102,0.899485163,1.144998545,18.47087657,844,0
7.669732756,4.70224291,1.091818138,1.08593532,16.06789044,888,1
7.670634409,7.895954831,0.9140997573,1.05873312,17.03304039,898,1
7.461452221,19.13846263,1.084446471,0.3194069185,18.76508579,640,1
6.648202466,-1.060789639,0.9840220088,0.5169099714,10.62875283,735,0
9.960506889,2.235802419,1.09299757,0.129484705,16.50679408,486,1
8.368326459,8.907589267,0.9260418284,1.014175703,17.31529622,853,1
7.742012257,0.3710585603,1.552817802,1.504714671,12.08235078,1052,1
8.512832524,1.774389741,0.7519682959,1.358897015,15.53897655,1027,1
9.657491118,3.049306511,2.530714343,1.159730958,17.78898392,880,1
7.035889676,1.233397649,0.5622467485,0.3442645761,12.58791535,383,0
7.639728424,3.992365773,0.9756902836,0.4926215504,16.53510577,640,1
2.416852414,4.22806119,0.672350467,1.009549753,12.88824788,774,0
7.981189705,3.480288003,1.051544036,0.4312567292,15.99434251,834,1
3.138826145,2.21854643,0.8044579197,-0.1102475605,12.51752896,66,0
9.607459096,14.88757911,1.443261769,1.170441893,22.83036339,1036,0
8.99126262,2.168684534,1.073679816,1.02373871,15.45895023,888,1
9.394047477,1.059724846,1.47115293,0.5226922939,14.79060021,524,1
6.387114689,7.650268021,1.208062471,1.182937194,17.66190358,1089,0
7.231630333,-0.4053899453,0.9765142018,-0.03245213675,10.80847317,1119,0
10.91488953,25.76424244,1.9321531,1.654563428,23.19163595,1051,1
8.401807133,3.157755456,0.975103707,1.066669058,16.56622543,888,1
7.110653409,7.979668641,1.130624287,0.0469248299,16.04216411,150,0
7.720901487,2.928977514,0.873747157,1.275462839,14.48440597,853,1
8.474917863,4.73636381,1.125747688,0.8867447487,17.71801213,844,0
7.529345067,16.48496804,0.9208684187,0.6786930294,18.43067883,640,1
10.27876601,3.469710365,1.910038644,0.9067620212,17.61396555,792,0
6.465130666,6.135252523,0.7018091629,1.044303626,16.41253109,888,1
9.132317001,2.274073143,1.310221608,0.998338251,16.10708134,931,0
9.288078931,5.91451486,1.424948945,0.8798259704,17.86137226,853,1
8.190382544,6.639390255,0.9441876302,-0.1405209132,16.64301355,21,0
7.658114025,3.831111404,0.8445564954,-0.1026241041,15.16210042,578,1
7.982833412,1.546342485,0.8574511183,1.191075804,14.79516564,958,1
9.08385315,5.499513421,1.277216065,0.7021319906,17.40752737,207,1
2.46637213,1.369289138,0.600618562,-0.1019092818,9.599422065,1127,1
9.273600838,17.72975353,1.350655161,0.9276672569,18.81344906,911,1
5.524712633,2.906686953,0.6433718852,1.501977155,13.78244828,1027,1
7.826780264,2.567043834,1.077398943,0.3081568042,14.90682464,150,0
9.864412374,1.776831615,1.282090786,0.5101881805,16.30425182,619,1
4.325899505,8.725265582,0.7747221208,1.090182331,12.70542888,844,0
9.103907193,3.400815809,1.030338635,0.5853051215,18.0112932,524,1
7.655934963,5.855027,0.8388888625,0.1271905854,17.60347625,171,1
8.064342475,3.427118458,0.8364851349,0.8537800705,17.25606234,850,1
8.457739423,2.445272403,1.397072495,0.1041082309,16.24506215,419,1
9.118525403,14.77739715,1.676053498,0.9907522129,19.24991249,947,1
7.893095768,9.977535584,1.391403784,0.1444112217,16.86078966,104,0
8.465051347,2.251070748,1.050513027,1.486283075,15.80004688,1027,1
9.551527024,7.974130584,1.017467822,0.4013107697,18.95624247,619,1
6.728751621,5.309649636,0.522849594,1.266907738,15.52476618,931,0
9.302237666,10.39030361,1.930143848,0.7208091332,20.0735131,817,1
8.283629955,3.748148535,1.280858671,1.550752967,17.05750323,958,1
9.000973439,-1.247413475,1.387678691,1.283130503,8.685925561,1065,1
7.728673922,4.17788361,0.5441353618,0.1416388172,16.85960016,110,1
8.6385952,3.034586325,0.8058874071,1.269497525,16.62957037,1027,1
8.408714137,4.879765059,0.8470931997,0.2188620225,17.72698987,524,1
9.263436526,0.6609892274,1.56720697,-0.005059676796,15.26490984,853,1
8.079647078,21.68742649,0.7770441446,0.7978562538,20.20727875,738,0
9.772880689,12.401714,1.420346469,0.6658587034,20.81824222,769,1
9.899305166,2.529463526,0.7575263286,0.3386423142,17.72988148,560,1
9.056881303,7.197795464,1.505352125,0.7766912286,19.13830161,757,0
7.480449787,9.662653567,0.8765693446,0.4680546354,16.52243293,524,1
8.6870008,1.014117582,1.065012303,0.5774416088,15.59984044,640,1
6.810569864,1.061202205,0.7925326055,0.9523622855,12.96726614,888,1
4.064960659,2.784713363,0.605689336,-0.003339683726,12.56684662,1049,0
8.517125671,2.384420894,0.6357971819,1.215588264,14.84098756,888,1
8.581184843,1.426513977,1.376795062,0.9652163018,14.66998569,853,1
9.329639037,-0.01578566694,1.565052847,1.402509612,7.881752237,931,0
